lr_pair	ligand_gene_symbol	receptor_gene_symbol	ligand_gene_id	receptor_gene_id	ligand_ensembl_protein_id	receptor_ensembl_protein_id	ligand_ensembl_gene_id	receptor_ensembl_gene_id	evidence
Wnt3_Fzd6	Wnt3	Fzd6	22415	14368	ENSMUSP00000000127	ENSMUSP00000022906	ENSMUSG00000000125	ENSMUSG00000022297	19901330
Wnt3_Egfr	Wnt3	Egfr	22415	13649	ENSMUSP00000000127	ENSMUSP00000020329	ENSMUSG00000000125	ENSMUSG00000020122	17374561
Wnt3_Fzd2	Wnt3	Fzd2	22415	57265	ENSMUSP00000000127	ENSMUSP00000091463	ENSMUSG00000000125	ENSMUSG00000050288	31907106
Wnt3_Lrp5	Wnt3	Lrp5	22415	16973	ENSMUSP00000000127	ENSMUSP00000025856	ENSMUSG00000000125	ENSMUSG00000024913	11719191
Wnt3_Fzd1	Wnt3	Fzd1	22415	14362	ENSMUSP00000000127	ENSMUSP00000058629	ENSMUSG00000000125	ENSMUSG00000044674	20667980
Wnt3_Fzd3	Wnt3	Fzd3	22415	14365	ENSMUSP00000000127	ENSMUSP00000115325	ENSMUSG00000000125	ENSMUSG00000007989	18212053
Wnt3_Fzd8	Wnt3	Fzd8	22415	14370	ENSMUSP00000000127	ENSMUSP00000039660	ENSMUSG00000000125	ENSMUSG00000036904	31036956,20093360
Wnt3_Ror1	Wnt3	Ror1	22415	26563	ENSMUSP00000000127	ENSMUSP00000048171	ENSMUSG00000000125	ENSMUSG00000035305	21078818
Wnt3_Lrp6	Wnt3	Lrp6	22415	16974	ENSMUSP00000000127	ENSMUSP00000032322	ENSMUSG00000000125	ENSMUSG00000030201	31036956,20093360,30664649,24506864,19339249,18606139
Wnt3_Ror2	Wnt3	Ror2	22415	26564	ENSMUSP00000000127	ENSMUSP00000021918	ENSMUSG00000000125	ENSMUSG00000021464	15388793
Wnt3_Fzd5	Wnt3	Fzd5	22415	14367	ENSMUSP00000000127	ENSMUSP00000067783	ENSMUSG00000000125	ENSMUSG00000045005	20227380
Wnt3_Fzd7	Wnt3	Fzd7	22415	14369	ENSMUSP00000000127	ENSMUSP00000109884	ENSMUSG00000000125	ENSMUSG00000041075	18313787
Wnt9a_Egfr	Wnt9a	Egfr	216795	13649	ENSMUSP00000000128	ENSMUSP00000020329	ENSMUSG00000000126	ENSMUSG00000020122	31110287
Wnt9a_Fzd9	Wnt9a	Fzd9	216795	14371	ENSMUSP00000000128	ENSMUSP00000053551	ENSMUSG00000000126	ENSMUSG00000049551	31110287,18513713
Wnt9a_Fzd4	Wnt9a	Fzd4	216795	14366	ENSMUSP00000000128	ENSMUSP00000049852	ENSMUSG00000000126	ENSMUSG00000049791	18513713
Wnt9a_Fzd7	Wnt9a	Fzd7	216795	14369	ENSMUSP00000000128	ENSMUSP00000109884	ENSMUSG00000000126	ENSMUSG00000041075	18513713
Fgf23_Fgfr1	Fgf23	Fgfr1	64654	14182	ENSMUSP00000000186	ENSMUSP00000081041	ENSMUSG00000000182	ENSMUSG00000031565	23403721
Fgf23_Fgfr4	Fgf23	Fgfr4	64654	14186	ENSMUSP00000000186	ENSMUSP00000005452	ENSMUSG00000000182	ENSMUSG00000005320	17623664,16597617
Fgf23_Fgfr2	Fgf23	Fgfr2	64654	14183	ENSMUSP00000000186	ENSMUSP00000112430	ENSMUSG00000000182	ENSMUSG00000030849	16597617
Fgf23_Fgfr3	Fgf23	Fgfr3	64654	14184	ENSMUSP00000000186	ENSMUSP00000085122	ENSMUSG00000000182	ENSMUSG00000054252	16597617
Fgf23_Kl	Fgf23	Kl	64654	16591	ENSMUSP00000000186	ENSMUSP00000077899	ENSMUSG00000000182	ENSMUSG00000058488	30451736
Fgf6_Fgfr1	Fgf6	Fgfr1	14177	14182	ENSMUSP00000000187	ENSMUSP00000081041	ENSMUSG00000000183	ENSMUSG00000031565	23403721,16597617
Fgf6_Fgfr4	Fgf6	Fgfr4	14177	14186	ENSMUSP00000000187	ENSMUSP00000005452	ENSMUSG00000000183	ENSMUSG00000005320	1385111,16597617
Fgf6_Fgfr2	Fgf6	Fgfr2	14177	14183	ENSMUSP00000000187	ENSMUSP00000112430	ENSMUSG00000000183	ENSMUSG00000030849	16597617,23403721
Fgf6_Fgfr3	Fgf6	Fgfr3	14177	14184	ENSMUSP00000000187	ENSMUSP00000085122	ENSMUSG00000000183	ENSMUSG00000054252	16597617
Ccl2_Ccr4	Ccl2	Ccr4	20296	12773	ENSMUSP00000000193	ENSMUSP00000062677	ENSMUSG00000035385	ENSMUSG00000047898	28836736
Ccl2_Ccr2	Ccl2	Ccr2	20296	12772	ENSMUSP00000000193	ENSMUSP00000132453	ENSMUSG00000035385	ENSMUSG00000049103	25772168,10699158
Ccl2_Ackr1	Ccl2	Ackr1	20296	13349	ENSMUSP00000000193	ENSMUSP00000045134	ENSMUSG00000035385	ENSMUSG00000037872	31739217,10699158
Ccl2_Ackr2	Ccl2	Ackr2	20296	59289	ENSMUSP00000000193	ENSMUSP00000050119	ENSMUSG00000035385	ENSMUSG00000044534	10699158,24218476
Ccl12_Ccr4	Ccl12	Ccr4	20293	12773	ENSMUSP00000000194	ENSMUSP00000062677	ENSMUSG00000035352	ENSMUSG00000047898	29858743
Ccl12_Ccr2	Ccl12	Ccr2	20293	12772	ENSMUSP00000000194	ENSMUSP00000132453	ENSMUSG00000035352	ENSMUSG00000049103	10714678
Cdh1_Itgb7	Cdh1	Itgb7	12550	16421	ENSMUSP00000000312	ENSMUSP00000001327	ENSMUSG00000000303	ENSMUSG00000001281	7969453
Cdh1_Egfr	Cdh1	Egfr	12550	13649	ENSMUSP00000000312	ENSMUSP00000020329	ENSMUSG00000000303	ENSMUSG00000020122	29093447,29487179
Cdh1_Fgfr1	Cdh1	Fgfr1	12550	14182	ENSMUSP00000000312	ENSMUSP00000081041	ENSMUSG00000000303	ENSMUSG00000031565	26420260
Cdh1_Ptprj	Cdh1	Ptprj	12550	19271	ENSMUSP00000000312	ENSMUSP00000107121	ENSMUSG00000000303	ENSMUSG00000025314	28926625
Cdh1_Itgae	Cdh1	Itgae	12550	16407	ENSMUSP00000000312	ENSMUSP00000006101	ENSMUSG00000000303	ENSMUSG00000005947	17325197,10790430
Cdh1_Ptprm	Cdh1	Ptprm	12550	19274	ENSMUSP00000000312	ENSMUSP00000045603	ENSMUSG00000000303	ENSMUSG00000033278	9531566
Cdh1_Igf1r	Cdh1	Igf1r	12550	16001	ENSMUSP00000000312	ENSMUSP00000005671	ENSMUSG00000000303	ENSMUSG00000005533	29941485
Cdh1_Klrg1	Cdh1	Klrg1	12550	50928	ENSMUSP00000000312	ENSMUSP00000032207	ENSMUSG00000000303	ENSMUSG00000030114	19604491
Ccl11_Ccr2	Ccl11	Ccr2	20292	12772	ENSMUSP00000000342	ENSMUSP00000132453	ENSMUSG00000020676	ENSMUSG00000049103	11264152
Ccl11_Ccr5	Ccl11	Ccr5	20292	12774	ENSMUSP00000000342	ENSMUSP00000107069	ENSMUSG00000020676	ENSMUSG00000079227	11264152
Ccl11_Ackr2	Ccl11	Ackr2	20292	59289	ENSMUSP00000000342	ENSMUSP00000050119	ENSMUSG00000020676	ENSMUSG00000044534	9405404
Ccl11_Cxcr3	Ccl11	Cxcr3	20292	12766	ENSMUSP00000000342	ENSMUSP00000052444	ENSMUSG00000020676	ENSMUSG00000050232	12884299
Ccl11_Ccr3	Ccl11	Ccr3	20292	12771	ENSMUSP00000000342	ENSMUSP00000039107	ENSMUSG00000020676	ENSMUSG00000035448	8687456,11892090
Ccl11_Ackr4	Ccl11	Ackr4	20292	252837	ENSMUSP00000000342	ENSMUSP00000075507	ENSMUSG00000020676	ENSMUSG00000079355	10734104
Pdgfb_Lrp1	Pdgfb	Lrp1	18591	16971	ENSMUSP00000000500	ENSMUSP00000044004	ENSMUSG00000000489	ENSMUSG00000040249	12690199
Pdgfb_Pdgfra	Pdgfb	Pdgfra	18591	18595	ENSMUSP00000000500	ENSMUSP00000127173	ENSMUSG00000000489	ENSMUSG00000029231	15207811
Pdgfb_Pdgfrb	Pdgfb	Pdgfrb	18591	18596	ENSMUSP00000000500	ENSMUSP00000025522	ENSMUSG00000000489	ENSMUSG00000024620	7543232,11870082
Fasl_Fas	Fasl	Fas	14103	14102	ENSMUSP00000000834	ENSMUSP00000025691	ENSMUSG00000000817	ENSMUSG00000024778	7509364
Il4_Il4ra	Il4	Il4ra	16189	16190	ENSMUSP00000000889	ENSMUSP00000033004	ENSMUSG00000000869	ENSMUSG00000030748	18243101
Il4_Il2ra	Il4	Il2ra	16189	16184	ENSMUSP00000000889	ENSMUSP00000028111	ENSMUSG00000000869	ENSMUSG00000026770	16293754
Il4_Tlr2	Il4	Tlr2	16189	24088	ENSMUSP00000000889	ENSMUSP00000029623	ENSMUSG00000000869	ENSMUSG00000027995	12600829,12692544
Il4_Il2rg	Il4	Il2rg	16189	16186	ENSMUSP00000000889	ENSMUSP00000033664	ENSMUSG00000000869	ENSMUSG00000031304	18243101
Il4_Il13ra1	Il4	Il13ra1	16189	16164	ENSMUSP00000000889	ENSMUSP00000033418	ENSMUSG00000000869	ENSMUSG00000017057	18243101
Il4_Il13ra2	Il4	Il13ra2	16189	16165	ENSMUSP00000000889	ENSMUSP00000033646	ENSMUSG00000000869	ENSMUSG00000031289	9130652
Ccl3_Ccr1	Ccl3	Ccr1	20302	12768	ENSMUSP00000001008	ENSMUSP00000026911	ENSMUSG00000000982	ENSMUSG00000025804	23059626
Ccl3_Ccr5	Ccl3	Ccr5	20302	12774	ENSMUSP00000001008	ENSMUSP00000107069	ENSMUSG00000000982	ENSMUSG00000079227	23059626,9139699
Ccl3_Ackr2	Ccl3	Ackr2	20302	59289	ENSMUSP00000001008	ENSMUSP00000050119	ENSMUSG00000000982	ENSMUSG00000044534	9139699,14723600
Ccl3_Ccr3	Ccl3	Ccr3	20302	12771	ENSMUSP00000001008	ENSMUSP00000039107	ENSMUSG00000000982	ENSMUSG00000035448	9139699
Icam4_Itgav	Icam4	Itgav	78369	16410	ENSMUSP00000001040	ENSMUSP00000028499	ENSMUSG00000001014	ENSMUSG00000027087	11435317,14551135
Icam4_Itgam	Icam4	Itgam	78369	16409	ENSMUSP00000001040	ENSMUSP00000068468	ENSMUSG00000001014	ENSMUSG00000030786	12694184
S100a4_Egfr	S100a4	Egfr	20198	13649	ENSMUSP00000001046	ENSMUSP00000020329	ENSMUSG00000001020	ENSMUSG00000020122	30083275
S100a4_Erbb2	S100a4	Erbb2	20198	13866	ENSMUSP00000001046	ENSMUSP00000053897	ENSMUSG00000001020	ENSMUSG00000062312	30083275
Icam2_Itgal	Icam2	Itgal	15896	16408	ENSMUSP00000001055	ENSMUSP00000101913	ENSMUSG00000001029	ENSMUSG00000030830	2051027
Icam2_Itgam	Icam2	Itgam	15896	16409	ENSMUSP00000001055	ENSMUSP00000068468	ENSMUSG00000001029	ENSMUSG00000030786	7561061,7744962
Efnb2_Ephb2	Efnb2	Ephb2	13642	13844	ENSMUSP00000001319	ENSMUSP00000101472	ENSMUSG00000001300	ENSMUSG00000028664	11780069
Efnb2_Epha3	Efnb2	Epha3	13642	13837	ENSMUSP00000001319	ENSMUSP00000066554	ENSMUSG00000001300	ENSMUSG00000052504	8559144
Efnb2_Epha4	Efnb2	Epha4	13642	13838	ENSMUSP00000001319	ENSMUSP00000027451	ENSMUSG00000001300	ENSMUSG00000026235	22243746,12761826,26552760
Efnb2_Ephb3	Efnb2	Ephb3	13642	13845	ENSMUSP00000001319	ENSMUSP00000006112	ENSMUSG00000001300	ENSMUSG00000005958	15114347
Efnb2_Epha7	Efnb2	Epha7	13642	13841	ENSMUSP00000001319	ENSMUSP00000029964	ENSMUSG00000001300	ENSMUSG00000028289	25139858
Efnb2_Ephb4	Efnb2	Ephb4	13642	13846	ENSMUSP00000001319	ENSMUSP00000106684	ENSMUSG00000001300	ENSMUSG00000029710	10518221
Efnb2_Epha6	Efnb2	Epha6	13642	13840	ENSMUSP00000001319	ENSMUSP00000066734	ENSMUSG00000001300	ENSMUSG00000055540	10648835
